PP_ID	GROUP	LANGUAGE_RANK	LANGUAGE	PART	TRIAL	TRIAL_FIXATION_COUNT	TRIAL_DWELL_TIME	IA_ID	WORD_ID	IA_LABEL	IA_LABEL_NO_PUNCTUATIONS	IA_FIRST_FIXATION_DURATION	IA_FIRST_RUN_DWELL_TIME	IA_DWELL_TIME	IA_SKIP	IA_FIRST_RUN_FIXATION_COUNT	IA_FIXATION_COUNT	IA_REGRESSION_PATH_DURATION	IA_SELECTIVE_REGRESSION_PATH_DURATION	MWS_Repetition_Within_One_Session	MWS_Repetition_Across_Sessions	Adj_Word_Repetition_Within_One_Session	Adj_Word_Repetition_Across_Sessions	Noun_Word_Repetition_Within_One_Session	Noun_Word_Repetition_Across_Sessions	MWS_Frequency	Adj_Word_Frequency	Noun_Word_Frequency	MWS_Length
pp21	Monolinguals	L1	English	1	27	67	15728	40	1-27-40	steady flood	steady flood	87	87	87	0	1	1	87	87	1	1	1	1	1	1	0	2770	1459	12
pp21	Monolinguals	L1	English	1	28	120	28047	5	1-28-5	attentive manner	attentive manner	156	992	992	1	5	5	992	992	1	1	1	1	3	3	0	237	5815	16
pp21	Monolinguals	L1	English	1	28	120	28047	59	1-28-59	regular profession,	regular profession	280	746	746	0	3	3	746	746	1	1	1	1	2	2	2	7392	3007	18
pp21	Monolinguals	L1	English	1	29	73	16845	60	1-29-60	real thing…	real thing	243	395	395	0	2	2	395	395	1	1	2	2	2	2	390	22277	33483	10
pp21	Monolinguals	L1	English	1	30	111	25275	27	1-30-27	famous detective,	famous detective	175	679	679	0	3	3	679	679	1	1	1	1	2	2	7	6293	1529	16
pp21	Monolinguals	L1	English	1	30	111	25275	38	1-30-38	little fellow.	little fellow	222	324	324	0	2	2	324	324	1	1	7	7	8	8	47	61932	4283	13
pp21	Monolinguals	L1	English	1	30	111	25275	51	1-30-51	mere matter	mere matter	227	227	227	0	1	1	227	227	1	1	1	1	1	1	21	3306	21586	11
pp21	Monolinguals	L1	English	1	30	111	25275	73	1-30-73	little man,	little man	241	404	404	0	2	2	404	404	1	1	8	8	3	3	506	61932	58168	10
pp21	Monolinguals	L1	English	1	30	111	25275	83	1-30-83	good detective	good detective	.	.	0	1	.	0	.	.	2	2	7	7	4	4	13	79878	1529	14
pp21	Monolinguals	L1	English	1	31	125	27908	6	1-31-6	great number	great number	148	312	312	0	2	2	312	312	1	1	5	5	1	1	237	46108	48281	12
pp21	Monolinguals	L1	English	1	31	125	27908	104	1-31-104	violent crime.	violent crime	212	468	468	0	2	2	468	468	1	1	1	1	3	3	103	2669	6815	13
pp21	Monolinguals	L1	English	1	32	98	22707	10	1-32-10	clear voice	clear voice	208	348	348	0	2	2	348	348	2	2	2	2	7	7	109	24762	23205	11
pp21	Monolinguals	L1	English	1	32	98	22707	23	1-32-23	general ignorance	general ignorance	165	624	624	0	3	3	624	624	1	1	1	1	1	1	5	37610	1112	17
pp21	Monolinguals	L1	English	1	32	98	22707	32	1-32-32	medical profession,	medical profession	460	830	830	0	3	3	830	830	1	1	1	1	4	4	335	9153	3007	18
pp21	Monolinguals	L1	English	1	32	98	22707	69	1-32-69	young girl	young girl	125	583	583	0	3	3	583	583	1	1	3	3	2	2	621	32003	14383	10
pp21	Monolinguals	L1	English	1	33	102	24243	7	1-33-7	young creature,	young creature	406	572	572	0	2	2	572	572	1	1	4	4	1	1	8	32003	1781	14
pp21	Monolinguals	L1	English	1	33	102	24243	50	1-33-50	dark eyes	dark eyes	157	281	281	0	2	2	281	281	1	1	1	1	4	4	923	12517	27226	9
pp21	Monolinguals	L1	English	1	36	91	22035	19	1-36-19	forked right	forked right	232	481	481	0	2	2	481	481	1	1	1	1	3	3	0	174	89831	12
pp21	Monolinguals	L1	English	1	36	91	22035	25	1-36-25	different wings	different wings	251	465	465	0	2	2	465	465	1	1	2	2	1	1	0	47209	2362	15
pp21	Monolinguals	L1	English	1	36	91	22035	35	1-36-35	left wing,	left wing	263	511	511	0	2	2	1025	511	1	1	4	4	1	1	198	44480	2798	9
pp21	Monolinguals	L1	English	1	37	64	14866	53	1-37-53	younger brother,	younger brother	220	391	391	0	2	2	391	391	1	1	3	3	1	1	370	5201	8208	15
pp21	Monolinguals	L1	English	1	38	125	31251	50	1-38-50	delightful visit.	delightful visit	117	1007	1007	0	3	3	1007	1007	1	1	2	2	1	1	3	1054	11966	16
pp21	Monolinguals	L1	English	1	38	125	31251	73	1-38-73	charming afternoon	charming afternoon	169	640	679	0	4	5	718	679	1	1	1	1	2	2	0	1324	7956	18
pp21	Monolinguals	L1	English	1	38	125	31251	89	1-38-89	large hall,	large hall	248	248	248	0	1	1	248	248	1	1	3	3	1	1	93	33965	11624	10
pp21	Monolinguals	L1	English	1	40	92	20111	54	1-40-54	old fool.	old fool	121	121	121	0	1	1	121	121	1	1	8	8	2	2	67	52171	1833	8
pp21	Monolinguals	L1	English	1	41	105	25308	76	1-41-76	...'wicked woman'	wicked woman	421	679	679	0	2	2	679	679	1	1	3	3	8	8	12	1021	21791	12
pp21	Monolinguals	L1	English	1	41	105	25308	81	1-41-81	'dear husband'!	dear husband	365	536	536	0	2	2	536	536	1	1	4	4	4	4	16	8411	10581	12
pp21	Monolinguals	L1	English	1	44	101	22007	81	1-44-81	bearded man	bearded man	.	.	0	1	.	0	.	.	1	1	1	1	8	8	70	322	58168	11
pp21	Monolinguals	L1	English	1	45	102	24372	45	1-45-45	clever man…	clever man	230	230	230	0	1	1	230	230	1	1	2	2	10	10	54	2204	58168	10
pp21	Monolinguals	L1	English	1	45	102	24372	60	1-45-60	great friend	great friend	219	630	630	0	2	2	630	630	1	1	7	7	2	2	116	46108	16202	12
pp21	Monolinguals	L1	English	1	46	112	27078	12	1-46-12	rotten business.	rotten business	338	606	606	0	2	2	606	606	1	1	2	2	1	1	5	762	34715	15
pp21	Monolinguals	L1	English	1	46	112	27078	18	1-46-18	rough tongue,	rough tongue	315	315	315	1	1	1	315	315	1	1	1	1	1	1	8	3386	2283	12
pp21	Monolinguals	L1	English	1	46	112	27078	24	1-46-24	stauncher friend	stauncher friend	425	887	887	1	3	3	887	887	1	1	1	1	3	3	0	0	16202	16
pp21	Monolinguals	L1	English	1	46	112	27078	78	1-46-78	opposite direction	opposite direction	264	858	858	0	3	3	858	858	1	1	1	1	2	2	425	5747	8421	18
pp21	Monolinguals	L1	English	1	47	68	16152	7	1-47-7	old lady	old lady	278	278	278	0	1	1	278	278	2	2	9	9	8	8	757	52171	9215	8
pp21	Monolinguals	L1	English	1	47	68	16152	11	1-47-11	big house,	big house	263	263	263	0	1	1	263	263	1	1	1	1	10	10	387	24382	48666	9
pp21	Monolinguals	L1	English	1	47	68	16152	27	1-47-27	vague chill	vague chill	82	230	230	1	2	2	230	230	1	1	1	1	1	1	0	1432	775	11
pp21	Monolinguals	L1	English	1	47	68	16152	43	1-47-43	old place,"	old place	183	183	183	0	1	1	183	183	1	1	10	10	5	5	0	52171	47329	9
pp21	Monolinguals	L1	English	1	47	68	16152	56	1-47-56	fine property.	fine property	208	534	534	0	3	3	534	534	1	1	3	3	1	1	0	12724	12369	13
pp21	Monolinguals	L1	English	1	48	59	12806	33	1-48-33	rotten verses	rotten verses	206	206	724	0	1	3	1000	724	1	1	3	3	2	2	0	762	558	13
pp21	Monolinguals	L1	English	1	48	59	12806	36	1-48-36	fancy bindings.	fancy bindings	542	851	851	0	3	3	851	851	1	1	1	1	1	1	0	2144	113	14
pp21	Monolinguals	L1	English	1	49	69	15371	37	1-49-37	sinister face	sinister face	244	244	244	1	1	1	244	244	1	1	1	1	8	8	7	658	32434	13
pp21	Monolinguals	L1	English	1	49	69	15371	47	1-49-47	vague suspicion	vague suspicion	202	660	660	0	3	3	660	660	1	1	2	2	3	3	6	1432	1544	15
pp21	Monolinguals	L1	English	1	51	105	25637	86	1-51-86	big hospital	big hospital	263	263	263	0	1	1	263	263	1	1	2	2	3	3	0	24382	14667	12
pp21	Monolinguals	L1	English	1	52	66	17216	10	1-52-10	peaceful days	peaceful days	288	532	532	0	3	3	532	532	1	1	2	2	5	5	6	1565	31542	13
pp21	Monolinguals	L1	English	1	52	66	17216	20	1-52-20	unaccountable preference	unaccountable preference	303	774	774	0	3	3	774	774	1	1	1	1	1	1	0	75	2143	24
pp21	Monolinguals	L1	English	1	55	121	27734	52	1-55-52	briskest mood	briskest mood	94	492	492	0	2	2	492	492	1	1	1	1	1	1	0	1	3115	13
pp21	Monolinguals	L1	English	1	55	121	27734	68	1-55-68	charming invitation	charming invitation	230	764	764	0	3	3	764	764	1	1	2	2	2	2	1	1324	1800	19
pp21	Monolinguals	L1	English	1	56	75	17819	18	1-56-18	pleasant luncheon,	pleasant luncheon	208	912	912	0	4	4	912	912	1	1	3	3	3	3	0	2542	346	17
pp21	Monolinguals	L1	English	1	57	115	26204	26	1-57-26	white overall.	white overall	167	167	1578	0	1	7	3543	1578	1	1	1	1	1	1	0	23111	7588	13
pp21	Monolinguals	L1	English	1	57	115	26204	81	1-57-81	single person	single person	.	.	0	1	.	0	.	.	1	1	2	2	1	1	227	17656	24365	13
pp21	Monolinguals	L1	English	1	61	96	23633	91	1-61-91	difficult person	difficult person	292	544	544	0	2	2	544	544	1	1	4	4	2	2	0	21433	24365	16
pp21	Monolinguals	L1	English	1	62	117	25353	22	1-62-22	certain charm	certain charm	237	739	739	1	3	3	739	739	1	1	3	3	1	1	12	21589	1343	13
pp21	Monolinguals	L1	English	1	62	117	25353	40	1-62-40	deep affection	deep affection	215	458	458	1	2	2	458	458	1	1	3	3	1	1	37	10141	1315	14
pp21	Monolinguals	L1	English	1	62	117	25353	116	1-62-116	little man	little man	335	920	920	0	3	3	920	920	2	2	15	15	12	12	506	61932	58168	10
pp21	Monolinguals	L1	English	1	63	135	30899	46	1-63-46	pleasant meeting	pleasant meeting	145	481	481	0	2	2	481	481	1	1	4	4	1	1	0	2542	19979	16
pp21	Monolinguals	L1	English	1	63	135	30899	55	1-63-55	old friend,	old friend	234	353	353	0	2	2	353	353	1	1	11	11	5	5	538	52171	16202	10
pp21	Monolinguals	L1	English	1	64	98	22743	43	1-64-43	little man.	little man	395	395	395	0	1	1	395	395	3	3	16	16	13	13	506	61932	58168	10
pp21	Monolinguals	L1	English	1	64	98	22743	58	1-64-58	great dignity.	great dignity	251	447	447	0	2	2	447	447	1	1	9	9	2	2	30	46108	1246	13
pp21	Monolinguals	L1	English	1	65	101	22354	22	1-65-22	little man	little man	149	304	304	1	2	2	304	304	4	4	18	18	14	14	506	61932	58168	10
pp21	Monolinguals	L1	English	1	65	101	22354	67	1-65-67	baffling cases	baffling cases	265	495	495	0	2	2	495	495	1	1	1	1	2	2	1	110	17996	14
pp21	Monolinguals	L1	English	1	65	101	22354	116	1-65-116	little man,"	little man	61	117	117	0	2	2	117	117	5	5	20	20	15	15	506	61932	58168	10
pp21	Monolinguals	L1	English	1	68	107	24628	28	1-68-28	quick game	quick game	410	692	1189	1	2	4	2987	1189	1	1	1	1	2	2	0	5729	14065	10
pp21	Monolinguals	L1	English	1	68	107	24628	67	1-68-67	good walk	good walk	202	202	202	0	1	1	202	202	1	1	10	10	2	2	0	79878	9962	9
pp21	Monolinguals	L1	English	1	74	89	17129	23	1-74-23	glorious night,	glorious night	384	607	607	1	2	2	607	607	1	1	2	2	5	5	6	1062	34119	14
pp21	Monolinguals	L1	English	1	74	89	17129	51	1-74-51	harmonious moments	harmonious moments	350	519	519	0	3	3	519	519	1	1	1	1	3	3	0	283	3004	18
pp21	Monolinguals	L1	English	1	76	83	20457	51	1-76-51	inaccessible place,	inaccessible place	376	600	600	0	2	2	600	600	1	1	1	1	8	8	4	330	47329	18
pp21	Monolinguals	L1	English	1	80	82	20001	36	1-80-36	right wing,	right wing	199	199	199	1	1	1	199	199	1	1	8	8	2	2	254	89831	2798	10
pp21	Monolinguals	L1	English	1	81	87	22902	49	1-81-49	right wing	right wing	240	240	564	1	1	2	240	240	2	2	9	9	3	3	254	89831	2798	10
pp21	Monolinguals	L1	English	1	82	107	30163	36	1-82-36	whole household	whole household	374	540	1217	0	2	5	540	540	1	1	2	2	2	2	20	29684	3850	15
pp21	Monolinguals	L1	English	1	82	107	30163	44	1-82-44	alarming sounds	alarming sounds	192	441	441	1	2	2	441	441	1	1	1	1	1	1	3	617	5644	15
pp21	Monolinguals	L1	English	1	83	110	28212	87	1-83-87	tough job,	tough job	212	570	570	0	2	2	570	570	1	1	1	1	1	1	26	3073	21904	9
pp21	Monolinguals	L1	English	1	86	101	24627	71	1-86-71	ghastly look	ghastly look	248	653	653	0	4	4	653	653	1	1	1	1	6	6	6	394	51549	12
pp21	Monolinguals	L1	English	1	87	66	15257	41	1-87-41	prim ornaments	prim ornaments	182	435	435	1	2	2	435	435	1	1	1	1	1	1	0	106	312	14
pp21	Monolinguals	L1	English	1	87	66	15257	66	1-87-66	short gasps.	short gasps	359	577	577	0	2	2	577	577	1	1	1	1	1	1	8	19448	129	11
pp21	Monolinguals	L1	English	1	88	113	27073	58	1-88-58	clear voice.	clear voice	124	124	351	0	1	2	652	351	3	3	4	4	12	12	109	24762	23205	11
pp21	Monolinguals	L1	English	1	88	113	27073	68	1-88-68	white land	white land	205	205	205	0	1	1	205	205	1	1	3	3	3	3	0	23111	20709	10
pp21	Monolinguals	L1	English	1	88	113	27073	83	1-88-83	faint streak	faint streak	312	879	879	0	3	3	879	879	1	1	1	1	1	1	2	1562	421	12
pp21	Monolinguals	L1	English	1	89	110	26260	11	1-89-11	fresh access	fresh access	330	657	1195	0	3	5	657	657	1	1	2	2	1	1	0	6518	10609	12
pp21	Monolinguals	L1	English	1	89	110	26260	18	1-89-18	old lady.	old lady	287	576	576	1	2	2	576	576	3	3	14	14	10	10	757	52171	9215	8
pp21	Monolinguals	L1	English	1	89	110	26260	42	1-89-42	final convulsion	final convulsion	313	854	854	0	3	3	854	854	1	1	1	1	1	1	1	15134	35	16
pp21	Monolinguals	L1	English	1	90	138	30920	84	1-90-84	sharp orders	sharp orders	56	341	341	1	2	2	341	341	1	1	2	2	1	1	4	4667	5221	12
pp21	Monolinguals	L1	English	1	90	138	30920	90	1-90-90	imperious wave	imperious wave	223	223	963	1	1	4	223	223	1	1	1	1	1	1	2	101	3388	14
pp21	Monolinguals	L1	English	1	91	70	15089	68	1-91-68	little man,	little man	254	408	408	0	2	2	408	408	6	6	23	23	18	18	506	61932	58168	10
pp21	Monolinguals	L1	English	1	92	101	22431	47	1-92-47	faint gesture	faint gesture	182	182	673	0	1	4	182	182	1	1	2	2	1	1	0	1562	1887	13
pp21	Monolinguals	L1	English	1	92	101	22431	67	1-92-67	dear lady.	dear lady	187	365	462	0	2	3	661	462	1	1	10	10	11	11	52	8411	9215	9
pp21	Monolinguals	L1	English	1	93	119	29027	9	1-93-9	local doctor	local doctor	252	454	454	0	2	2	454	454	1	1	1	1	8	8	65	45552	10066	12
pp21	Monolinguals	L1	English	1	99	109	24533	50	1-99-50	other hand,	other hand	210	210	210	0	1	1	210	210	1	1	4	4	16	16	5745	152363	33184	10
pp21	Monolinguals	L1	English	1	99	109	24533	112	1-99-112	famous detective."	famous detective	232	232	232	0	1	1	232	232	2	2	3	3	6	6	7	6293	1529	16
pp21	Monolinguals	L1	English	1	100	113	25482	40	1-100-40	whole thing	whole thing	94	94	570	0	1	4	3553	570	1	1	4	4	4	4	1216	29684	33483	11
pp21	Monolinguals	L1	English	1	101	157	35623	21	1-101-21	free hand,	free hand	71	1265	1265	1	5	5	1265	1265	1	1	1	1	17	17	281	20102	33184	9
pp21	Monolinguals	L1	English	1	101	157	35623	35	1-101-35	unnecessary scandal."	unnecessary scandal	347	634	634	1	2	2	634	634	1	1	2	2	1	1	0	1800	1337	19
pp21	Monolinguals	L1	English	1	103	124	28565	25	1-103-25	narrow path	narrow path	374	577	577	1	2	2	577	577	1	1	1	1	2	2	93	4786	5912	11
pp21	Monolinguals	L1	English	1	105	99	24479	64	1-105-64	brief words,	brief words	221	468	468	1	2	2	468	468	1	1	1	1	7	7	14	5416	23354	11
pp21	Monolinguals	L1	English	1	107	105	24556	61	1-107-61	proper place.	proper place	200	200	200	1	1	1	200	200	1	1	1	1	10	10	127	6254	47329	12
pp21	Monolinguals	L1	English	1	108	132	30694	68	1-108-68	little fact…	little fact	185	346	346	0	2	2	346	346	1	1	25	25	2	2	0	61932	36295	11
pp21	Monolinguals	L1	English	1	108	132	30694	95	1-108-95	curious fact,	curious fact	.	.	0	1	.	0	.	.	1	1	3	3	3	3	21	2078	36295	12
pp21	Monolinguals	L1	English	1	110	72	14906	11	1-110-11	good memory,	good memory	191	331	331	0	2	2	331	331	1	1	14	14	2	2	61	79878	7156	11
pp21	Monolinguals	L1	English	1	112	81	18331	51	1-112-51	deft gesture,	deft gesture	468	468	1145	0	1	5	2109	1145	1	1	1	1	3	3	1	119	1887	12
pp21	Monolinguals	L1	English	1	112	81	18331	83	1-112-83	beautiful expanse	beautiful expanse	247	247	247	0	1	1	247	247	1	1	2	2	1	1	0	8307	321	17
pp21	Monolinguals	L1	English	1	113	58	13044	9	1-113-9	poor family,	poor family	220	220	220	0	1	1	220	220	1	1	7	7	3	3	90	14392	33369	11
pp21	Monolinguals	L1	English	1	113	58	13044	34	1-113-34	prolonged gaze.	prolonged gaze	401	401	401	0	1	1	401	401	1	1	1	1	1	1	0	1136	2216	14
pp21	Monolinguals	L1	English	1	113	58	13044	63	1-113-63	dead woman	dead woman	218	218	218	0	1	1	218	218	1	1	2	2	11	11	101	11676	21791	10
pp21	Monolinguals	L1	English	1	115	95	19847	31	1-115-31	rapid poison.	rapid poison	102	102	445	0	1	3	465	445	1	1	1	1	4	4	0	3517	912	12
pp21	Monolinguals	L1	English	1	116	73	16814	67	1-116-67	dreadful business,	dreadful business	138	370	370	0	2	2	370	370	1	1	1	1	2	2	11	1353	34715	17
pp21	Monolinguals	L1	English	1	120	147	36029	38	1-120-38	little case	little case	190	631	631	0	4	4	631	631	1	1	30	30	8	8	0	61932	44641	11
pp21	Monolinguals	L1	English	1	120	147	36029	91	1-120-91	big house	big house	616	764	764	0	2	2	764	764	2	2	4	4	19	19	387	24382	48666	9
pp21	Monolinguals	L1	English	1	121	82	21068	25	1-121-25	ordinary key	ordinary key	314	524	524	0	2	2	524	524	1	1	1	1	4	4	0	6733	12158	12
pp21	Monolinguals	L1	English	1	122	61	13261	54	1-122-54	small quantity	small quantity	71	71	309	0	1	2	483	309	1	1	8	8	1	1	64	42738	2353	14
pp21	Monolinguals	L1	English	1	122	61	13261	66	1-122-66	empty cup	empty cup	230	230	230	0	1	1	230	230	1	1	1	1	1	1	38	5333	11774	9
pp21	Monolinguals	L1	English	1	124	93	20322	20	1-124-20	odd voice.	odd voice	373	373	459	0	1	2	777	459	1	1	2	2	15	15	15	4255	23205	9
pp21	Monolinguals	L1	English	1	126	94	20681	23	1-126-23	careful examination	careful examination	185	465	797	0	2	3	465	465	1	1	3	3	1	1	55	5013	4752	19
pp21	Monolinguals	L1	English	1	126	94	20681	39	1-126-39	round stain,	round stain	247	247	765	1	1	4	247	247	1	1	9	9	1	1	2	30459	486	11
pp21	Monolinguals	L1	English	1	127	103	24843	82	1-127-82	green fabric	green fabric	104	863	863	0	4	4	863	863	1	1	3	3	1	1	5	14059	2051	12
pp21	Monolinguals	L1	English	1	128	90	20066	28	1-128-28	dramatic gesture,	dramatic gesture	288	288	288	0	1	1	288	288	1	1	1	1	4	4	19	3784	1887	16
pp21	Monolinguals	L1	English	1	128	90	20066	54	1-128-54	good housemaid	good housemaid	264	514	514	0	2	2	794	514	1	1	16	16	1	1	0	79878	59	14
pp21	Monolinguals	L1	English	1	128	90	20066	66	1-128-66	hot iron.	hot iron	216	216	216	0	1	1	430	216	1	1	3	3	1	1	40	8633	4609	8
pp21	Monolinguals	L1	English	1	129	96	21227	72	1-129-72	white grease;	white grease	276	554	587	0	2	3	554	554	1	1	4	4	2	2	1	23111	396	12
